<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GAS,20170227,51.3600,51.8627,50.8573,51.8627,868170
GAS,20170224,52.8681,52.8681,51.6951,51.6951,749570
GAS,20170223,52.3654,53.1195,52.0303,52.7843,1381370
GAS,20170222,50.5221,51.9464,50.5221,51.9465,2022590
GAS,20170221,49.4329,50.6059,49.3491,50.0194,1564800
GAS,20170220,49.3491,49.6005,48.8464,49.4329,545730
GAS,20170217,49.7681,49.9357,49.2654,49.3491,507400
GAS,20170216,49.4329,50.2708,49.2653,49.6843,1044840
GAS,20170215,49.6005,49.6005,49.1816,49.5167,943370
GAS,20170214,49.4329,49.8518,49.0140,49.5167,1178960
GAS,20170213,49.4329,49.7680,49.2653,49.5167,646920
GAS,20170210,48.5951,49.8519,48.5113,49.4329,774350
GAS,20170209,47.7572,49.0140,47.5897,48.5951,2471360
GAS,20170208,50.2708,50.2708,49.5167,49.5167,118350
GAS,20170207,50.2708,50.6897,50.1032,50.2708,230780
GAS,20170206,49.8518,51.1086,49.2653,50.2708,415830
GAS,20170203,50.6897,50.6897,49.6005,49.8518,174630
GAS,20170202,50.5222,51.1087,50.5222,50.6897,102440
GAS,20170125,50.2708,50.3546,49.8519,50.3546,190060
GAS,20170124,49.4329,50.6059,49.0140,50.2708,158760
GAS,20170123,48.6789,49.0140,47.7573,49.0140,143830
GAS,20170120,48.0924,48.7627,47.7573,48.6789,88440
GAS,20170119,47.7573,48.0924,47.7573,48.0924,48270
GAS,20170118,47.5059,48.2600,47.5059,48.0924,250630
GAS,20170117,48.2600,48.5951,47.4221,47.5059,274310
GAS,20170116,49.9356,49.9356,48.3437,48.5951,292540
GAS,20170113,50.6897,50.9411,49.9356,49.9356,172210
GAS,20170112,50.6897,51.0248,50.4383,50.6897,35960
GAS,20170111,50.2708,50.6897,50.2708,50.6059,52950
GAS,20170110,50.9411,50.9411,50.1032,50.2708,145150
GAS,20170109,50.6059,51.2762,50.2708,50.6897,210470
GAS,20170106,51.5275,51.5275,50.6059,50.6059,73420
GAS,20170105,51.7789,51.7789,51.1086,51.5275,30860
GAS,20170104,50.2708,51.7789,50.1870,51.5275,144060
GAS,20170103,51.1086,51.1086,50.1870,50.3546,119390
GAS,20161230,50.0194,50.9410,50.0194,50.7735,63220
GAS,20161229,50.1870,50.3546,50.0194,50.0194,158240
GAS,20161228,50.2708,50.6897,49.9357,50.1870,199190
GAS,20161227,51.1086,51.4438,47.6734,50.2708,122290
GAS,20161226,52.7843,52.7843,51.1924,51.1924,33570
GAS,20161223,53.2870,53.2870,51.9464,51.9465,91970
